,Date,home,visitor,hgoal,vgoal
0,10/03/2012,Colorado Rapids,Columbus Crew,2,0
1,10/03/2012,Vancouver Whitecaps,Montreal Impact,2,0
2,11/03/2012,DC United,Sporting Kansas City,0,1
3,11/03/2012,Los Angeles Galaxy,Real Salt Lake,1,3
4,11/03/2012,San Jose Earthquakes,New England Revolution,1,0
5,11/03/2012,FC Dallas,New York Red Bulls,2,1
6,11/03/2012,Chivas USA,Houston Dynamo,0,1
7,13/03/2012,Portland Timbers,Philadelphia Union,3,1
8,17/03/2012,Montreal Impact,Chicago Fire,1,1
9,17/03/2012,San Jose Earthquakes,Houston Dynamo,0,1
10,18/03/2012,FC Dallas,Portland Timbers,1,1
11,18/03/2012,Sporting Kansas City,New England Revolution,3,0
12,18/03/2012,Real Salt Lake,New York Red Bulls,2,0
13,18/03/2012,Seattle Sounders,Toronto FC,3,1
14,18/03/2012,Chivas USA,Vancouver Whitecaps,0,1
15,18/03/2012,Philadelphia Union,Colorado Rapids,1,2
16,18/03/2012,Los Angeles Galaxy,DC United,3,1
17,24/03/2012,Seattle Sounders,Houston Dynamo,2,0
18,24/03/2012,Toronto FC,San Jose Earthquakes,0,3
19,24/03/2012,Columbus Crew,Montreal Impact,2,0
20,24/03/2012,New England Revolution,Portland Timbers,1,0
21,25/03/2012,Chicago Fire,Philadelphia Union,1,0
22,25/03/2012,Real Salt Lake,Chivas USA,0,1
23,25/03/2012,Vancouver Whitecaps,DC United,0,0
24,25/03/2012,New York Red Bulls,Colorado Rapids,4,1
25,26/03/2012,Sporting Kansas City,FC Dallas,2,1
26,31/03/2012,DC United,FC Dallas,4,1
27,31/03/2012,Toronto FC,Columbus Crew,0,1
28,31/03/2012,New York Red Bulls,Montreal Impact,5,2
29,31/03/2012,Philadelphia Union,Vancouver Whitecaps,0,0
30,01/04/2012,Portland Timbers,Real Salt Lake,2,3
31,01/04/2012,Seattle Sounders,San Jose Earthquakes,0,1
32,01/04/2012,Los Angeles Galaxy,New England Revolution,1,3
33,02/04/2012,Colorado Rapids,Chicago Fire,2,0
34,02/04/2012,Chivas USA,Sporting Kansas City,0,1
35,05/04/2012,Real Salt Lake,Montreal Impact,1,0
36,06/04/2012,FC Dallas,New England Revolution,1,0
37,07/04/2012,Montreal Impact,Toronto FC,2,1
38,07/04/2012,Columbus Crew,New York Red Bulls,1,4
39,07/04/2012,Sporting Kansas City,Los Angeles Galaxy,1,0
40,08/04/2012,San Jose Earthquakes,Vancouver Whitecaps,3,1
41,08/04/2012,DC United,Seattle Sounders,0,0
42,08/04/2012,Real Salt Lake,Colorado Rapids,2,0
43,08/04/2012,Portland Timbers,Chivas USA,1,2
44,14/04/2012,Philadelphia Union,Columbus Crew,1,0
45,14/04/2012,New England Revolution,DC United,1,2
46,14/04/2012,Seattle Sounders,Colorado Rapids,1,0
47,14/04/2012,Toronto FC,Chivas USA,0,1
48,15/04/2012,New York Red Bulls,San Jose Earthquakes,2,2
49,15/04/2012,FC Dallas,Montreal Impact,2,1
50,15/04/2012,Sporting Kansas City,Real Salt Lake,1,0
51,15/04/2012,Los Angeles Galaxy,Portland Timbers,3,1
52,16/04/2012,Chicago Fire,Houston Dynamo,1,1
53,19/04/2012,DC United,Montreal Impact,1,1
54,19/04/2012,Vancouver Whitecaps,Sporting Kansas City,1,3
55,21/04/2012,Toronto FC,Chicago Fire,2,3
56,22/04/2012,Columbus Crew,Houston Dynamo,2,2
