,Date,Season,home,visitor,FT,hgoal,vgoal
0,1995-08-04,1995,Aalst,Anderlecht,3-1,3,1
1,1995-08-05,1995,Cercle Brugge,Antwerp,3-2,3,2
2,1995-08-05,1995,Charleroi,Mechelen,4-2,4,2
3,1995-08-05,1995,Lierse,Harelbeke,0-1,0,1
4,1995-08-05,1995,Molenbeek,Beveren,1-0,1,0
5,1995-08-05,1995,St Truiden,Seraing,4-1,4,1
6,1995-08-05,1995,Standard,Lommel,1-0,1,0
7,1995-08-05,1995,Waregem,Gent,2-2,2,2
8,1995-08-06,1995,Germinal,Club Brugge,1-2,1,2
9,1995-08-11,1995,Club Brugge,St Truiden,2-0,2,0
10,1995-08-12,1995,Anderlecht,Charleroi,0-2,0,2
11,1995-08-12,1995,Antwerp,Lierse,3-1,3,1
12,1995-08-12,1995,Beveren,Aalst,0-2,0,2
13,1995-08-12,1995,Gent,Standard,2-4,2,4
14,1995-08-12,1995,Lommel,Cercle Brugge,0-1,0,1
15,1995-08-12,1995,Mechelen,Germinal,1-1,1,1
16,1995-08-12,1995,Seraing,Waregem,0-2,0,2
17,1995-08-13,1995,Harelbeke,Molenbeek,4-2,4,2
18,1995-08-16,1995,Aalst,Harelbeke,2-0,2,0
19,1995-08-16,1995,Cercle Brugge,Gent,0-0,0,0
20,1995-08-16,1995,Charleroi,Beveren,3-1,3,1
21,1995-08-16,1995,Lierse,Lommel,3-1,3,1
22,1995-08-16,1995,Molenbeek,Antwerp,0-0,0,0
23,1995-08-16,1995,Seraing,Club Brugge,1-1,1,1
24,1995-08-16,1995,St Truiden,Mechelen,2-2,2,2
25,1995-08-16,1995,Waregem,Standard,0-4,0,4
26,1995-08-20,1995,Anderlecht,St Truiden,4-0,4,0
27,1995-08-20,1995,Antwerp,Aalst,0-1,0,1
28,1995-08-20,1995,Beveren,Germinal,3-2,3,2
29,1995-08-20,1995,Gent,Lierse,0-2,0,2
30,1995-08-20,1995,Lommel,Molenbeek,0-1,0,1
31,1995-08-20,1995,Mechelen,Seraing,1-4,1,4
32,1995-08-20,1995,Standard,Cercle Brugge,4-0,4,0
33,1995-08-21,1995,Club Brugge,Waregem,3-1,3,1
34,1995-08-21,1995,Harelbeke,Charleroi,4-0,4,0
35,1995-08-27,1995,Aalst,Lommel,4-1,4,1
36,1995-08-27,1995,Charleroi,Antwerp,2-0,2,0
37,1995-08-27,1995,Club Brugge,Mechelen,6-0,6,0
38,1995-08-27,1995,Germinal,Harelbeke,1-1,1,1
39,1995-08-27,1995,Lierse,Standard,0-0,0,0
40,1995-08-27,1995,Molenbeek,Gent,1-0,1,0
41,1995-08-27,1995,Seraing,Anderlecht,2-1,2,1
42,1995-08-27,1995,St Truiden,Beveren,0-2,0,2
43,1995-08-27,1995,Waregem,Cercle Brugge,1-1,1,1
44,1995-08-29,1995,Anderlecht,Club Brugge,2-1,2,1
45,1995-08-29,1995,Beveren,Seraing,1-0,1,0
46,1995-08-29,1995,Cercle Brugge,Lierse,2-3,2,3
47,1995-08-29,1995,Gent,Aalst,3-1,3,1
48,1995-08-29,1995,Harelbeke,St Truiden,3-0,3,0
49,1995-08-29,1995,Lommel,Charleroi,1-1,1,1
50,1995-08-29,1995,Mechelen,Waregem,3-0,3,0
51,1995-08-29,1995,Standard,Molenbeek,1-1,1,1
52,1995-09-10,1995,Aalst,Standard,1-1,1,1
53,1995-09-10,1995,Charleroi,Gent,3-3,3,3
54,1995-09-10,1995,Club Brugge,Beveren,3-1,3,1
55,1995-09-10,1995,Germinal,Lommel,1-2,1,2
56,1995-09-10,1995,Mechelen,Anderlecht,1-3,1,3
57,1995-09-10,1995,Molenbeek,Cercle Brugge,2-2,2,2
58,1995-09-10,1995,Seraing,Harelbeke,0-1,0,1
59,1995-09-10,1995,St Truiden,Antwerp,2-3,2,3
60,1995-09-10,1995,Waregem,Lierse,1-3,1,3
61,1995-09-17,1995,Anderlecht,Waregem,2-0,2,0
62,1995-09-17,1995,Antwerp,Seraing,4-2,4,2
63,1995-09-17,1995,Beveren,Mechelen,1-1,1,1
64,1995-09-17,1995,Cercle Brugge,Aalst,1-1,1,1
65,1995-09-17,1995,Gent,Germinal,0-2,0,2
66,1995-09-17,1995,Lierse,Molenbeek,1-1,1,1
67,1995-09-17,1995,Lommel,St Truiden,2-3,2,3
68,1995-09-17,1995,Standard,Charleroi,2-2,2,2
69,1995-09-18,1995,Harelbeke,Club Brugge,0-2,0,2
70,1995-09-20,1995,Aalst,Lierse,1-2,1,2
71,1995-09-20,1995,Anderlecht,Beveren,1-0,1,0
72,1995-09-20,1995,Charleroi,Cercle Brugge,1-1,1,1
73,1995-09-20,1995,Club Brugge,Antwerp,2-0,2,0
74,1995-09-20,1995,Germinal,Standard,2-0,2,0
75,1995-09-20,1995,Mechelen,Harelbeke,1-0,1,0
76,1995-09-20,1995,Seraing,Lommel,2-1,2,1
77,1995-09-20,1995,St Truiden,Gent,1-0,1,0
78,1995-09-20,1995,Waregem,Molenbeek,0-1,0,1
79,1995-09-24,1995,Antwerp,Mechelen,1-2,1,2
80,1995-09-24,1995,Beveren,Waregem,5-1,5,1
81,1995-09-24,1995,Cercle Brugge,Germinal,2-2,2,2
82,1995-09-24,1995,Gent,Seraing,4-2,4,2
83,1995-09-24,1995,Harelbeke,Anderlecht,0-4,0,4
84,1995-09-24,1995,Lierse,Charleroi,2-1,2,1
85,1995-09-24,1995,Lommel,Club Brugge,2-2,2,2
86,1995-09-24,1995,Molenbeek,Aalst,0-0,0,0
87,1995-09-24,1995,Standard,St Truiden,1-1,1,1
88,1995-09-30,1995,Anderlecht,Antwerp,1-1,1,1
89,1995-09-30,1995,Beveren,Harelbeke,0-0,0,0
90,1995-09-30,1995,Charleroi,Molenbeek,2-2,2,2
91,1995-09-30,1995,Club Brugge,Gent,3-0,3,0
92,1995-09-30,1995,Germinal,Lierse,1-1,1,1
93,1995-09-30,1995,Mechelen,Lommel,2-0,2,0
94,1995-09-30,1995,Seraing,Standard,0-0,0,0
95,1995-09-30,1995,St Truiden,Cercle Brugge,1-1,1,1
96,1995-09-30,1995,Waregem,Aalst,0-0,0,0
97,1995-10-07,1995,Germinal,Anderlecht,2-2,2,2
98,1995-10-15,1995,Aalst,Charleroi,3-4,3,4
99,1995-10-15,1995,Cercle Brugge,Seraing,0-0,0,0
100,1995-10-15,1995,Gent,Mechelen,0-0,0,0
101,1995-10-15,1995,Lierse,St Truiden,3-0,3,0
102,1995-10-15,1995,Lommel,Anderlecht,2-2,2,2
103,1995-10-15,1995,Molenbeek,Germinal,1-0,1,0
104,1995-10-15,1995,Standard,Club Brugge,1-0,1,0
105,1995-10-16,1995,Antwerp,Beveren,1-1,1,1
106,1995-10-16,1995,Harelbeke,Waregem,2-1,2,1
107,1995-10-22,1995,Anderlecht,Gent,3-0,3,0
108,1995-10-22,1995,Beveren,Lommel,0-1,0,1
109,1995-10-22,1995,Club Brugge,Cercle Brugge,2-2,2,2
110,1995-10-22,1995,Germinal,Aalst,5-1,5,1
111,1995-10-22,1995,Harelbeke,Antwerp,3-1,3,1
112,1995-10-22,1995,Mechelen,Standard,2-0,2,0
113,1995-10-22,1995,Seraing,Lierse,1-3,1,3
114,1995-10-22,1995,St Truiden,Molenbeek,0-1,0,1
115,1995-10-23,1995,Waregem,Charleroi,4-1,4,1
116,1995-10-29,1995,Aalst,St Truiden,0-0,0,0
117,1995-10-29,1995,Antwerp,Waregem,2-0,2,0
118,1995-10-29,1995,Cercle Brugge,Mechelen,3-2,3,2
119,1995-10-29,1995,Charleroi,Germinal,1-1,1,1
120,1995-10-29,1995,Gent,Beveren,3-0,3,0
121,1995-10-29,1995,Lierse,Club Brugge,2-2,2,2
122,1995-10-29,1995,Lommel,Harelbeke,2-0,2,0
123,1995-10-29,1995,Molenbeek,Seraing,4-0,4,0
124,1995-10-29,1995,Standard,Anderlecht,2-4,2,4
125,1995-11-05,1995,Anderlecht,Cercle Brugge,3-0,3,0
126,1995-11-05,1995,Antwerp,Lommel,4-1,4,1
127,1995-11-05,1995,Beveren,Standard,0-0,0,0
128,1995-11-05,1995,Club Brugge,Molenbeek,3-0,3,0
129,1995-11-05,1995,Harelbeke,Gent,0-1,0,1
130,1995-11-05,1995,Mechelen,Lierse,0-0,0,0
131,1995-11-05,1995,Seraing,Aalst,2-4,2,4
132,1995-11-05,1995,St Truiden,Charleroi,4-1,4,1
133,1995-11-05,1995,Waregem,Germinal,1-0,1,0
134,1995-11-11,1995,Antwerp,Germinal,0-2,0,2
135,1995-11-19,1995,Aalst,Club Brugge,0-2,0,2
136,1995-11-19,1995,Cercle Brugge,Beveren,2-0,2,0
137,1995-11-19,1995,Charleroi,Seraing,4-2,4,2
