,Date,Season,home,visitor,FT,hgoal,vgoal
0,1955-09-04,1955,Sporting CP,Partizan Belgrade,3-3,3,3
1,1955-09-07,1955,Budapesti Voros Lobogo,RSC Anderlecht,6-3,6,3
2,1955-09-08,1955,Servette Geneve,Real Madrid,0-2,0,2
3,1955-09-14,1955,Rot-Weiss Essen,Hibernian FC,0-4,0,4
4,1955-09-20,1955,Djurgardens IF,Gwardia Warszawa,0-0,0,0
5,1955-09-21,1955,Aarhus GF,Stade Reims,0-2,0,2
6,1955-09-21,1955,Rapid Wien,PSV Eindhoven,6-1,6,1
7,1955-10-12,1955,Gwardia Warszawa,Djurgardens IF,1-4,1,4
8,1955-10-12,1955,Hibernian FC,Rot-Weiss Essen,1-1,1,1
9,1955-10-12,1955,Real Madrid,Servette Geneve,5-0,5,0
10,1955-10-12,1955,Partizan Belgrade,Sporting CP,5-2,5,2
11,1955-10-19,1955,RSC Anderlecht,Budapesti Voros Lobogo,1-4,1,4
12,1955-10-26,1955,Stade Reims,Aarhus GF,2-2,2,2
13,1955-11-01,1955,AC Milan,Saarbrucken,3-4,3,4
14,1955-11-01,1955,PSV Eindhoven,Rapid Wien,1-0,1,0
15,1955-11-23,1955,Saarbrucken,AC Milan,1-4,1,4
16,1955-11-23,1955,Djurgardens IF,Hibernian FC,1-3,1,3
17,1955-11-28,1955,Hibernian FC,Djurgardens IF,1-0,1,0
18,1955-12-14,1955,Stade Reims,Budapesti Voros Lobogo,4-2,4,2
19,1955-12-25,1955,Real Madrid,Partizan Belgrade,4-0,4,0
20,1955-12-28,1955,Budapesti Voros Lobogo,Stade Reims,4-4,4,4
21,1956-01-18,1955,Rapid Wien,AC Milan,1-1,1,1
22,1956-01-29,1955,Partizan Belgrade,Real Madrid,3-0,3,0
23,1956-02-12,1955,AC Milan,Rapid Wien,7-2,7,2
24,1956-04-04,1955,Stade Reims,Hibernian FC,2-0,2,0
25,1956-04-18,1955,Hibernian FC,Stade Reims,0-1,0,1
26,1956-04-19,1955,Real Madrid,AC Milan,4-2,4,2
27,1956-05-01,1955,AC Milan,Real Madrid,2-1,2,1
28,1956-06-13,1955,Real Madrid,Stade Reims,4-3,4,3
29,1956-08-01,1956,Borussia Dortmund,Spora Luxemburg,4-3,4,3
30,1956-08-26,1956,Dinamo Bucuresti,Galatasaray,3-1,3,1
31,1956-09-06,1956,Spora Luxemburg,Borussia Dortmund,2-1,2,1
32,1956-09-12,1956,SK Slovan Bratislava,Legia Warsaw,4-0,4,0
33,1956-09-12,1956,RSC Anderlecht,Manchester United,0-2,0,2
34,1956-09-16,1956,Borussia Dortmund,Spora Luxemburg,7-0,7,0
35,1956-09-19,1956,Aarhus GF,OGC Nice,1-1,1,1
36,1956-09-19,1956,Legia Warsaw,SK Slovan Bratislava,2-0,2,0
37,1956-09-20,1956,FC Porto,Athletic Bilbao,1-2,1,2
38,1956-09-26,1956,Athletic Bilbao,FC Porto,3-2,3,2
39,1956-09-26,1956,Manchester United,RSC Anderlecht,10-0,10,0
40,1956-09-27,1956,OGC Nice,Aarhus GF,5-1,5,1
41,1956-09-30,1956,Galatasaray,Dinamo Bucuresti,2-1,2,1
42,1956-10-17,1956,Manchester United,Borussia Dortmund,3-2,3,2
43,1956-10-17,1956,CDNA Sofia,Dinamo Bucuresti,8-1,8,1
44,1956-10-24,1956,Rangers,OGC Nice,2-1,2,1
45,1956-10-24,1956,SK Slovan Bratislava,Grasshoppers Zurich,1-0,1,0
46,1956-11-01,1956,Real Madrid,Rapid Wien,4-2,4,2
47,1956-11-01,1956,Rapid JC Heerlen,Crvena Zvezda,3-4,3,4
48,1956-11-14,1956,OGC Nice,Rangers,2-1,2,1
49,1956-11-14,1956,Rapid Wien,Real Madrid,3-1,3,1
