,Date,Season,home,visitor,FT,hgoal,vgoal
0,1933-07-01,1932,CA Paris (alt),AS Cannes,5-1,5,1
1,1933-07-01,1932,SC Fives Lille,FC Sete,4-2,4,2
2,1933-07-01,1932,Olympique Marseille,OGC Nice,4-0,4,0
3,1933-07-01,1932,SC Nimes,Olympique Lillois Lille,3-3,3,3
4,1933-07-01,1932,FC Antibes,Stade Rennes,1-1,1,1
5,1933-07-01,1932,Stade Olympique Montpellierain,Racing Club de France,1-0,1,0
6,1933-07-01,1932,Excelsior Roubaix,FC Sochaux,2-1,2,1
7,1933-07-01,1932,FC Sete,CA Paris (alt),6-2,6,2
8,1933-07-01,1932,OGC Nice,Excelsior Roubaix,3-3,3,3
9,1933-07-01,1932,Racing Club de France,Olympique Lillois Lille,1-0,1,0
10,1933-07-01,1932,AS Cannes,Olympique Marseille,1-1,1,1
11,1933-07-01,1932,SC Fives Lille,SC Nimes,5-2,5,2
12,1933-07-01,1932,Stade Rennes,Stade Olympique Montpellierain,2-6,2,6
13,1933-07-01,1932,FC Sochaux,FC Antibes,6-4,6,4
14,1933-07-01,1932,FC Antibes,OGC Nice,3-2,3,2
15,1933-07-01,1932,Stade Olympique Montpellierain,FC Sochaux,3-2,3,2
16,1933-07-01,1932,Olympique Marseille,FC Sete,3-3,3,3
17,1933-07-01,1932,Olympique Lillois Lille,Stade Rennes,5-4,5,4
18,1933-07-01,1932,Excelsior Roubaix,AS Cannes,3-1,3,1
19,1933-07-01,1932,SC Nimes,Racing Club de France,3-1,3,1
20,1933-07-01,1932,CA Paris (alt),SC Fives Lille,0-1,0,1
21,1933-07-01,1932,FC Sete,Excelsior Roubaix,4-2,4,2
22,1933-07-01,1932,AS Cannes,FC Antibes,1-0,1,0
23,1933-07-01,1932,Stade Rennes,Racing Club de France,2-1,2,1
24,1933-07-01,1932,CA Paris (alt),SC Nimes,7-0,7,0
25,1933-07-01,1932,SC Fives Lille,Olympique Marseille,2-3,2,3
26,1933-07-01,1932,FC Sochaux,Olympique Lillois Lille,3-5,3,5
27,1933-07-01,1932,OGC Nice,Stade Olympique Montpellierain,1-1,1,1
28,1933-07-01,1932,OGC Nice,CA Paris (alt),5-2,5,2
29,1933-07-01,1932,Stade Rennes,Excelsior Roubaix,5-2,5,2
30,1933-07-01,1932,Racing Club de France,FC Antibes,5-2,5,2
31,1933-07-01,1932,FC Sochaux,Olympique Marseille,4-1,4,1
32,1933-07-01,1932,AS Cannes,SC Fives Lille,0-0,0,0
33,1933-07-01,1932,FC Sete,SC Nimes,8-2,8,2
34,1933-07-01,1932,Olympique Lillois Lille,Stade Olympique Montpellierain,6-2,6,2
35,1933-07-01,1932,FC Sete,AS Cannes,4-0,4,0
36,1933-07-01,1932,CA Paris (alt),FC Sochaux,4-6,4,6
37,1933-07-01,1932,FC Antibes,Olympique Lillois Lille,3-1,3,1
38,1933-07-01,1932,Excelsior Roubaix,Racing Club de France,3-6,3,6
39,1933-07-01,1932,Olympique Marseille,Stade Rennes,7-1,7,1
40,1933-07-01,1932,SC Nimes,Stade Olympique Montpellierain,2-0,2,0
41,1933-07-01,1932,SC Fives Lille,OGC Nice,5-2,5,2
42,1933-07-01,1932,OGC Nice,FC Sete,1-4,1,4
43,1933-07-01,1932,Stade Rennes,CA Paris (alt),8-2,8,2
