,Date,Season,home,visitor,FT,hgoal,vgoal
0,1974-08-02,1974,1. FC Saarbrucken,SV Darmstadt 98,1-0,1,0
1,1974-08-03,1974,SC Gottingen 05,DJK Gutersloh,5-2,5,2
2,1974-08-03,1974,Olympia Wilhelmshaven,SpVgg Erkenschwick,1-2,1,2
3,1974-08-03,1974,Arminia Bielefeld,Borussia Dortmund,1-1,1,1
4,1974-08-03,1974,FC St. Pauli,SG Wattenscheid 09,1-3,1,3
5,1974-08-03,1974,Fortuna Koln,HSV Barmbek-Uhlenhorst,4-0,4,0
6,1974-08-03,1974,Wacker 04 Berlin,Rot-Weiss Oberhausen,1-1,1,1
7,1974-08-03,1974,Schwarz-Weiss Essen,VfL Wolfsburg,0-0,0,0
8,1974-08-03,1974,FC Augsburg,1. FC Nurnberg,2-0,2,0
9,1974-08-03,1974,Stuttgarter Kickers,Waldhof Mannheim,1-1,1,1
10,1974-08-03,1974,VfR Heilbronn,1. FC Schweinfurt 05,5-1,5,1
11,1974-08-03,1974,SpVgg Bayreuth,SV Rochling Volklingen,1-2,1,2
12,1974-08-03,1974,SpVgg Greuther Furth,FK Pirmasens,1-1,1,1
13,1974-08-03,1974,VfR Mannheim,Borussia Neunkirchen,1-3,1,3
14,1974-08-04,1974,KFC Uerdingen 05,Preussen Munster,3-1,3,1
15,1974-08-04,1974,1. FSV Mainz 05,FC Bayern Hof,2-0,2,0
16,1974-08-04,1974,1. FC Mulheim,VfL Osnabruck,1-0,1,0
17,1974-08-04,1974,Wormatia Worms,1860 Munchen,1-0,1,0
18,1974-08-04,1974,FC 08 Homburg,Karlsruher SC,2-3,2,3
19,1974-08-09,1974,Alemannia Aachen,Fortuna Koln,1-1,1,1
20,1974-08-10,1974,SpVgg Erkenschwick,Schwarz-Weiss Essen,2-1,2,1
21,1974-08-10,1974,Rot-Weiss Oberhausen,Arminia Bielefeld,2-2,2,2
22,1974-08-10,1974,Preussen Munster,Wacker 04 Berlin,1-1,1,1
23,1974-08-10,1974,VfL Wolfsburg,1. FC Mulheim,1-0,1,0
24,1974-08-10,1974,SG Wattenscheid 09,Olympia Wilhelmshaven,2-2,2,2
25,1974-08-10,1974,Borussia Dortmund,Hannover 96,3-1,3,1
26,1974-08-10,1974,VfL Osnabruck,KFC Uerdingen 05,2-0,2,0
27,1974-08-10,1974,HSV Barmbek-Uhlenhorst,SC Gottingen 05,2-1,2,1
28,1974-08-10,1974,DJK Gutersloh,FC St. Pauli,2-2,2,2
29,1974-08-10,1974,Waldhof Mannheim,VfR Heilbronn,1-0,1,0
30,1974-08-10,1974,1. FC Nurnberg,1. FSV Mainz 05,3-0,3,0
31,1974-08-10,1974,FK Pirmasens,SpVgg Bayreuth,2-1,2,1
32,1974-08-10,1974,Karlsruher SC,Wormatia Worms,2-0,2,0
33,1974-08-10,1974,Borussia Neunkirchen,SpVgg Greuther Furth,0-1,0,1
34,1974-08-10,1974,SV Darmstadt 98,Stuttgarter Kickers,2-0,2,0
35,1974-08-10,1974,FC Bayern Hof,1. FC Saarbrucken,1-1,1,1
36,1974-08-10,1974,1860 Munchen,FC Augsburg,1-1,1,1
37,1974-08-11,1974,1. FC Schweinfurt 05,FC 08 Homburg,2-0,2,0
38,1974-08-11,1974,SV Rochling Volklingen,VfR Mannheim,5-1,5,1
39,1974-08-18,1974,Wormatia Worms,FK Pirmasens,0-2,0,2
40,1974-08-18,1974,SpVgg Bayreuth,Karlsruher SC,1-1,1,1
41,1974-08-18,1974,VfR Heilbronn,SV Darmstadt 98,1-1,1,1
42,1974-08-18,1974,SpVgg Greuther Furth,SV Rochling Volklingen,1-1,1,1
43,1974-08-18,1974,1. FC Saarbrucken,1. FC Schweinfurt 05,0-0,0,0
44,1974-08-18,1974,Stuttgarter Kickers,FC Bayern Hof,1-4,1,4
45,1974-08-18,1974,FC Augsburg,Borussia Neunkirchen,3-1,3,1
46,1974-08-20,1974,Wacker 04 Berlin,VfL Osnabruck,2-1,2,1
47,1974-08-21,1974,Schwarz-Weiss Essen,SG Wattenscheid 09,2-0,2,0
48,1974-08-21,1974,1. FSV Mainz 05,Waldhof Mannheim,1-1,1,1
49,1974-08-21,1974,SC Gottingen 05,FC St. Pauli,5-0,5,0
50,1974-08-21,1974,Olympia Wilhelmshaven,DJK Gutersloh,2-1,2,1
51,1974-08-21,1974,KFC Uerdingen 05,VfL Wolfsburg,4-1,4,1
52,1974-08-21,1974,HSV Barmbek-Uhlenhorst,Alemannia Aachen,2-1,2,1
53,1974-08-21,1974,Arminia Bielefeld,Preussen Munster,3-2,3,2
54,1974-08-21,1974,1. FC Mulheim,SpVgg Erkenschwick,3-1,3,1
55,1974-08-21,1974,Fortuna Koln,Borussia Dortmund,2-0,2,0
56,1974-08-21,1974,Hannover 96,Rot-Weiss Oberhausen,5-2,5,2
57,1974-08-21,1974,VfR Mannheim,1860 Munchen,2-1,2,1
58,1974-08-21,1974,FC 08 Homburg,1. FC Nurnberg,2-1,2,1
59,1974-08-24,1974,Alemannia Aachen,SC Gottingen 05,0-2,0,2
60,1974-08-24,1974,FC St. Pauli,Olympia Wilhelmshaven,2-1,2,1
61,1974-08-24,1974,VfL Osnabruck,Arminia Bielefeld,1-1,1,1
62,1974-08-24,1974,DJK Gutersloh,Schwarz-Weiss Essen,3-1,3,1
63,1974-08-24,1974,Borussia Dortmund,HSV Barmbek-Uhlenhorst,2-1,2,1
64,1974-08-24,1974,SpVgg Erkenschwick,KFC Uerdingen 05,1-3,1,3
65,1974-08-24,1974,Preussen Munster,Hannover 96,1-1,1,1
66,1974-08-24,1974,1860 Munchen,1. FSV Mainz 05,1-3,1,3
67,1974-08-24,1974,1. FC Nurnberg,Wormatia Worms,3-0,3,0
