,Date,Season,home,visitor,FT,hgoal,vgoal
0,1994-09-24,1994,AEK,Athinaikos,0-0,0,0
1,1994-09-24,1994,Apollon,Panathinaikos,2-3,2,3
2,1994-09-24,1994,Doxa,Olympiakos,0-1,0,1
3,1994-09-24,1994,Edessaikos,Levadiakos,1-0,1,0
4,1994-09-24,1994,Ethnikos,OFI,1-1,1,1
5,1994-09-24,1994,Iraklis,Ionikos,6-1,6,1
6,1994-09-24,1994,Larisa,Aris,0-0,0,0
7,1994-09-24,1994,PAOK,Kavala,4-0,4,0
8,1994-09-24,1994,Xanthi,Panionios,4-1,4,1
9,1994-10-01,1994,Aris,Doxa,3-1,3,1
10,1994-10-01,1994,Athinaikos,Ethnikos,1-1,1,1
11,1994-10-01,1994,Ionikos,Levadiakos,2-0,2,0
12,1994-10-01,1994,Kavala,AEK,0-0,0,0
13,1994-10-01,1994,OFI,Iraklis,2-1,2,1
14,1994-10-01,1994,Olympiakos,Apollon,3-1,3,1
15,1994-10-01,1994,Panathinaikos,Edessaikos,4-1,4,1
16,1994-10-01,1994,Panionios,Larisa,2-1,2,1
17,1994-10-01,1994,PAOK,Xanthi,2-0,2,0
18,1994-10-08,1994,AEK,PAOK,4-3,4,3
19,1994-10-08,1994,Apollon,Aris,2-0,2,0
20,1994-10-08,1994,Doxa,Panionios,1-1,1,1
21,1994-10-08,1994,Edessaikos,Olympiakos,1-1,1,1
22,1994-10-08,1994,Ethnikos,Kavala,4-0,4,0
23,1994-10-08,1994,Ionikos,Panathinaikos,2-5,2,5
24,1994-10-08,1994,Iraklis,Athinaikos,2-0,2,0
25,1994-10-08,1994,Levadiakos,OFI,1-3,1,3
26,1994-10-08,1994,Xanthi,Larisa,2-3,2,3
27,1994-10-15,1994,AEK,Xanthi,1-1,1,1
28,1994-10-15,1994,Aris,Edessaikos,4-0,4,0
29,1994-10-15,1994,Athinaikos,Levadiakos,2-0,2,0
30,1994-10-15,1994,Kavala,Iraklis,0-1,0,1
31,1994-10-15,1994,Larisa,Doxa,3-1,3,1
32,1994-10-15,1994,OFI,Panathinaikos,0-2,0,2
33,1994-10-15,1994,Olympiakos,Ionikos,6-1,6,1
34,1994-10-15,1994,Panionios,Apollon,0-0,0,0
35,1994-10-15,1994,PAOK,Ethnikos,4-0,4,0
36,1994-10-22,1994,Apollon,Larisa,2-1,2,1
37,1994-10-22,1994,Edessaikos,Panionios,0-0,0,0
38,1994-10-22,1994,Ethnikos,AEK,0-2,0,2
39,1994-10-22,1994,Ionikos,Aris,2-0,2,0
40,1994-10-22,1994,Iraklis,PAOK,1-2,1,2
41,1994-10-22,1994,Levadiakos,Kavala,2-1,2,1
42,1994-10-22,1994,OFI,Olympiakos,1-0,1,0
43,1994-10-22,1994,Panathinaikos,Athinaikos,1-0,1,0
44,1994-10-22,1994,Xanthi,Doxa,5-1,5,1
45,1994-10-29,1994,AEK,Iraklis,4-1,4,1
46,1994-10-29,1994,Aris,OFI,0-1,0,1
47,1994-10-29,1994,Athinaikos,Olympiakos,1-0,1,0
48,1994-10-29,1994,Doxa,Apollon,2-1,2,1
49,1994-10-29,1994,Ethnikos,Xanthi,0-0,0,0
50,1994-10-29,1994,Kavala,Panathinaikos,1-5,1,5
51,1994-10-29,1994,Larisa,Edessaikos,0-1,0,1
52,1994-10-29,1994,Panionios,Ionikos,4-2,4,2
53,1994-10-29,1994,PAOK,Levadiakos,0-0,0,0
54,1994-11-05,1994,Athinaikos,Aris,0-1,0,1
