,Date,Season,home,visitor,FT,hgoal,vgoal
0,1956-09-02,1956,AFC Ajax,NAC Breda,1-0,1,0
1,1956-09-02,1956,BVV,USV Elinkwijk,1-2,1,2
2,1956-09-02,1956,DOS Utrecht,Sparta Rotterdam,2-3,2,3
3,1956-09-02,1956,Fortuna Sittard,SC Eindhoven,4-1,4,1
4,1956-09-02,1956,NOAD Tilburg,DWS Amsterdam,1-3,1,3
5,1956-09-02,1956,PSV Eindhoven,MVV,1-3,1,3
6,1956-09-02,1956,Sportclub Enschede,Rapid JC Heerlen,5-2,5,2
7,1956-09-02,1956,VVV-Venlo,Groninger VAV,1-0,1,0
8,1956-09-02,1956,Willem II,Feijenoord,3-3,3,3
9,1956-09-09,1956,DWS Amsterdam,Willem II,0-6,0,6
10,1956-09-09,1956,SC Eindhoven,VVV-Venlo,0-2,0,2
11,1956-09-09,1956,USV Elinkwijk,Sportclub Enschede,1-5,1,5
12,1956-09-09,1956,Feijenoord,BVV,5-1,5,1
13,1956-09-09,1956,Groninger VAV,DOS Utrecht,3-2,3,2
14,1956-09-09,1956,MVV,Fortuna Sittard,1-0,1,0
15,1956-09-09,1956,NAC Breda,NOAD Tilburg,2-2,2,2
16,1956-09-09,1956,Rapid JC Heerlen,PSV Eindhoven,3-1,3,1
17,1956-09-09,1956,Sparta Rotterdam,AFC Ajax,1-2,1,2
18,1956-09-23,1956,AFC Ajax,Groninger VAV,4-2,4,2
19,1956-09-23,1956,BVV,Willem II,3-2,3,2
20,1956-09-23,1956,DOS Utrecht,SC Eindhoven,0-1,0,1
21,1956-09-23,1956,Fortuna Sittard,Rapid JC Heerlen,5-0,5,0
22,1956-09-23,1956,NAC Breda,DWS Amsterdam,3-1,3,1
23,1956-09-23,1956,NOAD Tilburg,Sparta Rotterdam,3-0,3,0
24,1956-09-23,1956,PSV Eindhoven,USV Elinkwijk,0-3,0,3
25,1956-09-23,1956,Sportclub Enschede,Feijenoord,2-3,2,3
26,1956-09-23,1956,VVV-Venlo,MVV,1-3,1,3
27,1956-09-30,1956,DWS Amsterdam,BVV,3-2,3,2
28,1956-09-30,1956,SC Eindhoven,AFC Ajax,0-3,0,3
29,1956-09-30,1956,USV Elinkwijk,Fortuna Sittard,2-2,2,2
30,1956-09-30,1956,Feijenoord,PSV Eindhoven,2-0,2,0
31,1956-09-30,1956,Groninger VAV,NOAD Tilburg,2-0,2,0
32,1956-09-30,1956,MVV,DOS Utrecht,2-5,2,5
33,1956-09-30,1956,Rapid JC Heerlen,VVV-Venlo,2-0,2,0
34,1956-09-30,1956,Sparta Rotterdam,NAC Breda,1-4,1,4
35,1956-09-30,1956,Willem II,Sportclub Enschede,2-2,2,2
36,1956-10-07,1956,AFC Ajax,MVV,2-0,2,0
37,1956-10-07,1956,DOS Utrecht,Rapid JC Heerlen,2-0,2,0
38,1956-10-07,1956,Fortuna Sittard,Feijenoord,3-2,3,2
39,1956-10-07,1956,NAC Breda,Groninger VAV,2-0,2,0
40,1956-10-07,1956,NOAD Tilburg,SC Eindhoven,2-0,2,0
41,1956-10-07,1956,PSV Eindhoven,Willem II,3-1,3,1
42,1956-10-07,1956,Sportclub Enschede,BVV,4-1,4,1
43,1956-10-07,1956,Sparta Rotterdam,DWS Amsterdam,1-1,1,1
44,1956-10-07,1956,VVV-Venlo,USV Elinkwijk,2-1,2,1
45,1956-10-21,1956,DWS Amsterdam,Sportclub Enschede,0-2,0,2
46,1956-10-21,1956,BVV,PSV Eindhoven,0-3,0,3
47,1956-10-21,1956,SC Eindhoven,NAC Breda,2-2,2,2
48,1956-10-21,1956,USV Elinkwijk,DOS Utrecht,1-6,1,6
49,1956-10-21,1956,Feijenoord,VVV-Venlo,3-0,3,0
50,1956-10-21,1956,Groninger VAV,Sparta Rotterdam,2-2,2,2
