,Date,Season,home,visitor,FT,hgoal,vgoal
0,1996-04-06,1996,San Jose Earthquakes,DC United,1-0,1,0
1,1996-04-13,1996,LA Galaxy,New York Red Bulls,2-1,2,1
2,1996-04-13,1996,Tampa Bay Mutiny,New England Revolution,3-2,3,2
3,1996-04-13,1996,Columbus Crew,DC United,4-0,4,0
4,1996-04-13,1996,Sporting Kansas City,Colorado Rapids,3-0,3,0
5,1996-04-14,1996,FC Dallas,San Jose Earthquakes,1-0,1,0
6,1996-04-18,1996,FC Dallas,Sporting Kansas City,3-0,3,0
7,1996-04-20,1996,DC United,LA Galaxy,1-2,1,2
8,1996-04-20,1996,Columbus Crew,Tampa Bay Mutiny,1-2,1,2
9,1996-04-20,1996,New York Red Bulls,New England Revolution,0-1,0,1
10,1996-04-21,1996,Colorado Rapids,FC Dallas,3-1,3,1
11,1996-04-21,1996,San Jose Earthquakes,Sporting Kansas City,2-3,2,3
12,1996-04-27,1996,New York Red Bulls,Columbus Crew,0-2,0,2
13,1996-04-27,1996,New England Revolution,DC United,2-1,2,1
14,1996-04-28,1996,Tampa Bay Mutiny,FC Dallas,1-2,1,2
15,1996-04-28,1996,LA Galaxy,San Jose Earthquakes,2-1,2,1
16,1996-05-01,1996,DC United,FC Dallas,3-1,3,1
17,1996-05-02,1996,Sporting Kansas City,Columbus Crew,6-4,6,4
18,1996-05-04,1996,New York Red Bulls,Tampa Bay Mutiny,4-3,4,3
19,1996-05-04,1996,New England Revolution,San Jose Earthquakes,1-2,1,2
20,1996-05-05,1996,FC Dallas,Columbus Crew,1-0,1,0
21,1996-05-05,1996,Colorado Rapids,Sporting Kansas City,4-0,4,0
22,1996-05-05,1996,LA Galaxy,DC United,3-1,3,1
23,1996-05-08,1996,San Jose Earthquakes,Colorado Rapids,3-1,3,1
24,1996-05-08,1996,Tampa Bay Mutiny,Sporting Kansas City,2-0,2,0
25,1996-05-11,1996,Colorado Rapids,Tampa Bay Mutiny,1-2,1,2
26,1996-05-11,1996,Columbus Crew,New England Revolution,3-2,3,2
27,1996-05-11,1996,Sporting Kansas City,FC Dallas,2-3,2,3
28,1996-05-12,1996,DC United,New York Red Bulls,1-2,1,2
29,1996-05-12,1996,San Jose Earthquakes,LA Galaxy,1-2,1,2
30,1996-05-15,1996,DC United,Columbus Crew,5-2,5,2
31,1996-05-16,1996,New York Red Bulls,Colorado Rapids,3-0,3,0
32,1996-05-18,1996,Tampa Bay Mutiny,San Jose Earthquakes,3-2,3,2
33,1996-05-18,1996,FC Dallas,DC United,3-2,3,2
34,1996-05-19,1996,New England Revolution,New York Red Bulls,2-0,2,0
35,1996-05-19,1996,Columbus Crew,Colorado Rapids,2-4,2,4
36,1996-05-19,1996,LA Galaxy,Sporting Kansas City,2-0,2,0
37,1996-05-22,1996,Sporting Kansas City,New York Red Bulls,2-1,2,1
38,1996-05-23,1996,FC Dallas,Tampa Bay Mutiny,0-1,0,1
39,1996-05-25,1996,New England Revolution,Colorado Rapids,3-2,3,2
40,1996-05-26,1996,LA Galaxy,Columbus Crew,3-2,3,2
41,1996-05-29,1996,San Jose Earthquakes,Sporting Kansas City,2-1,2,1
42,1996-05-29,1996,Colorado Rapids,FC Dallas,2-0,2,0
43,1996-05-30,1996,New York Red Bulls,DC United,1-2,1,2
44,1996-06-01,1996,San Jose Earthquakes,Columbus Crew,3-2,3,2
45,1996-06-01,1996,Tampa Bay Mutiny,LA Galaxy,1-2,1,2
46,1996-06-01,1996,Sporting Kansas City,New England Revolution,2-1,2,1
47,1996-06-02,1996,FC Dallas,New York Red Bulls,0-1,0,1
48,1996-06-02,1996,Colorado Rapids,DC United,2-3,2,3
49,1996-06-05,1996,DC United,San Jose Earthquakes,3-1,3,1
50,1996-06-05,1996,Sporting Kansas City,Tampa Bay Mutiny,1-3,1,3
51,1996-06-06,1996,New England Revolution,LA Galaxy,2-3,2,3
52,1996-06-08,1996,Columbus Crew,Sporting Kansas City,3-4,3,4
53,1996-06-08,1996,FC Dallas,San Jose Earthquakes,4-1,4,1
54,1996-06-08,1996,Tampa Bay Mutiny,Colorado Rapids,2-1,2,1
55,1996-06-09,1996,New York Red Bulls,LA Galaxy,0-4,0,4
56,1996-06-15,1996,New England Revolution,Sporting Kansas City,2-1,2,1
57,1996-06-15,1996,FC Dallas,Colorado Rapids,2-1,2,1
58,1996-06-16,1996,New York Red Bulls,San Jose Earthquakes,0-1,0,1
59,1996-06-16,1996,LA Galaxy,Tampa Bay Mutiny,3-2,3,2
60,1996-06-19,1996,New York Red Bulls,FC Dallas,1-0,1,0
61,1996-06-19,1996,Columbus Crew,Colorado Rapids,2-3,2,3
62,1996-06-20,1996,Sporting Kansas City,DC United,5-1,5,1
63,1996-06-22,1996,Tampa Bay Mutiny,Columbus Crew,3-4,3,4
64,1996-06-23,1996,New England Revolution,FC Dallas,1-4,1,4
65,1996-06-23,1996,San Jose Earthquakes,DC United,2-1,2,1
66,1996-06-26,1996,LA Galaxy,Colorado Rapids,3-1,3,1
67,1996-06-26,1996,New York Red Bulls,Sporting Kansas City,2-0,2,0
68,1996-06-27,1996,New England Revolution,Columbus Crew,1-2,1,2
69,1996-06-29,1996,FC Dallas,Sporting Kansas City,0-1,0,1
70,1996-06-30,1996,Columbus Crew,New York Red Bulls,0-4,0,4
71,1996-06-30,1996,DC United,New England Revolution,3-1,3,1
72,1996-06-30,1996,Colorado Rapids,LA Galaxy,2-1,2,1
73,1996-06-30,1996,San Jose Earthquakes,Tampa Bay Mutiny,4-0,4,0
74,1996-07-04,1996,LA Galaxy,New England Revolution,0-1,0,1
75,1996-07-04,1996,Tampa Bay Mutiny,Columbus Crew,4-1,4,1
76,1996-07-04,1996,FC Dallas,DC United,2-1,2,1
77,1996-07-04,1996,Colorado Rapids,New York Red Bulls,3-1,3,1
78,1996-07-06,1996,San Jose Earthquakes,New England Revolution,1-2,1,2
79,1996-07-06,1996,Sporting Kansas City,LA Galaxy,3-1,3,1
80,1996-07-07,1996,Colorado Rapids,Columbus Crew,2-1,2,1
81,1996-07-07,1996,DC United,FC Dallas,6-1,6,1
82,1996-07-10,1996,New York Red Bulls,FC Dallas,3-2,3,2
83,1996-07-10,1996,Sporting Kansas City,Colorado Rapids,2-0,2,0
84,1996-07-11,1996,Columbus Crew,New England Revolution,1-2,1,2
85,1996-07-12,1996,DC United,Tampa Bay Mutiny,1-0,1,0
86,1996-07-17,1996,FC Dallas,LA Galaxy,5-2,5,2
87,1996-07-17,1996,Colorado Rapids,San Jose Earthquakes,1-2,1,2
88,1996-07-18,1996,Tampa Bay Mutiny,Sporting Kansas City,3-2,3,2
89,1996-07-20,1996,New England Revolution,DC United,2-0,2,0
90,1996-07-20,1996,Columbus Crew,San Jose Earthquakes,3-4,3,4
91,1996-07-20,1996,Sporting Kansas City,FC Dallas,1-2,1,2
92,1996-07-21,1996,Colorado Rapids,Tampa Bay Mutiny,1-3,1,3
93,1996-07-21,1996,LA Galaxy,New York Red Bulls,3-0,3,0
94,1996-07-24,1996,Colorado Rapids,New England Revolution,2-0,2,0
95,1996-07-24,1996,San Jose Earthquakes,New York Red Bulls,0-1,0,1
96,1996-07-25,1996,Columbus Crew,Tampa Bay Mutiny,1-0,1,0
97,1996-07-27,1996,Tampa Bay Mutiny,LA Galaxy,4-3,4,3
98,1996-07-27,1996,FC Dallas,Colorado Rapids,3-0,3,0
99,1996-07-27,1996,Sporting Kansas City,New England Revolution,4-2,4,2
100,1996-07-28,1996,New York Red Bulls,San Jose Earthquakes,4-1,4,1
101,1996-07-28,1996,DC United,Columbus Crew,2-0,2,0
102,1996-07-31,1996,Columbus Crew,FC Dallas,1-2,1,2
103,1996-07-31,1996,DC United,Sporting Kansas City,2-3,2,3
104,1996-07-31,1996,New England Revolution,San Jose Earthquakes,2-0,2,0
105,1996-08-01,1996,Colorado Rapids,LA Galaxy,2-3,2,3
106,1996-08-03,1996,New England Revolution,New York Red Bulls,2-1,2,1
107,1996-08-03,1996,Tampa Bay Mutiny,Colorado Rapids,3-1,3,1
108,1996-08-04,1996,DC United,Sporting Kansas City,2-4,2,4
109,1996-08-04,1996,LA Galaxy,Columbus Crew,1-2,1,2
110,1996-08-07,1996,Tampa Bay Mutiny,DC United,1-3,1,3
111,1996-08-07,1996,Colorado Rapids,Sporting Kansas City,4-2,4,2
112,1996-08-08,1996,LA Galaxy,New England Revolution,1-0,1,0
113,1996-08-10,1996,Columbus Crew,DC United,3-2,3,2
114,1996-08-10,1996,FC Dallas,Tampa Bay Mutiny,2-1,2,1
115,1996-08-11,1996,Sporting Kansas City,LA Galaxy,3-2,3,2
116,1996-08-11,1996,Colorado Rapids,New York Red Bulls,0-2,0,2
117,1996-08-11,1996,San Jose Earthquakes,New England Revolution,6-1,6,1
