,Date,Season,home,visitor,FT,hgoal,vgoal
0,1994-08-20,1994,Farense,Sp Lisbon,0-2,0,2
1,1994-08-21,1994,Belenenses,Est Amadora,0-0,0,0
2,1994-08-21,1994,Benfica,Beira Mar,2-0,2,0
3,1994-08-21,1994,Desp. Chaves,Salgueiros,0-1,0,1
4,1994-08-21,1994,Gil Vicente,Tirsense,0-1,0,1
5,1994-08-21,1994,Guimaraes,Boavista,2-0,2,0
6,1994-08-21,1994,Leiria,Madeira,1-2,1,2
7,1994-08-21,1994,Maritimo,Setubal,3-2,3,2
8,1994-08-21,1994,Porto,Sp Braga,2-0,2,0
9,1994-08-27,1994,Sp Lisbon,Belenenses,2-1,2,1
10,1994-08-28,1994,Beira Mar,Porto,0-2,0,2
11,1994-08-28,1994,Boavista,Farense,2-1,2,1
12,1994-08-28,1994,Est Amadora,Maritimo,1-1,1,1
13,1994-08-28,1994,Madeira,Benfica,0-2,0,2
14,1994-08-28,1994,Salgueiros,Guimaraes,0-0,0,0
15,1994-08-28,1994,Setubal,Leiria,2-2,2,2
16,1994-08-28,1994,Sp Braga,Gil Vicente,1-1,1,1
17,1994-08-28,1994,Tirsense,Desp. Chaves,0-1,0,1
18,1994-09-09,1994,Maritimo,Leiria,2-0,2,0
19,1994-09-10,1994,Belenenses,Boavista,3-1,3,1
20,1994-09-10,1994,Benfica,Setubal,1-0,1,0
21,1994-09-10,1994,Est Amadora,Sp Lisbon,0-2,0,2
22,1994-09-11,1994,Desp. Chaves,Sp Braga,1-0,1,0
23,1994-09-11,1994,Farense,Salgueiros,1-0,1,0
24,1994-09-11,1994,Gil Vicente,Beira Mar,0-1,0,1
25,1994-09-11,1994,Guimaraes,Tirsense,1-0,1,0
26,1994-09-11,1994,Porto,Madeira,3-0,3,0
27,1994-09-17,1994,Beira Mar,Desp. Chaves,4-2,4,2
28,1994-09-17,1994,Boavista,Est Amadora,2-1,2,1
29,1994-09-17,1994,Leiria,Benfica,1-0,1,0
30,1994-09-17,1994,Madeira,Gil Vicente,2-0,2,0
31,1994-09-17,1994,Salgueiros,Belenenses,1-0,1,0
32,1994-09-17,1994,Setubal,Porto,2-3,2,3
33,1994-09-17,1994,Sp Braga,Guimaraes,3-1,3,1
34,1994-09-17,1994,Sp Lisbon,Maritimo,2-0,2,0
35,1994-09-17,1994,Tirsense,Farense,3-0,3,0
36,1994-09-24,1994,Belenenses,Tirsense,0-1,0,1
37,1994-09-24,1994,Desp. Chaves,Madeira,5-1,5,1
38,1994-09-24,1994,Est Amadora,Salgueiros,4-0,4,0
39,1994-09-24,1994,Farense,Sp Braga,0-1,0,1
40,1994-09-24,1994,Gil Vicente,Setubal,3-0,3,0
41,1994-09-24,1994,Guimaraes,Beira Mar,1-0,1,0
42,1994-09-24,1994,Porto,Leiria,2-0,2,0
43,1994-09-24,1994,Sp Lisbon,Boavista,2-2,2,2
44,1994-10-01,1994,Beira Mar,Farense,1-3,1,3
