,Date,Season,home,visitor,FT,hgoal,vgoal
0,1994-08-13,1994,Aberdeen,Hearts,3-1,3,1
1,1994-08-13,1994,Falkirk,Celtic,1-1,1,1
2,1994-08-13,1994,Hibernian,Dundee United,5-0,5,0
3,1994-08-13,1994,Partick,Kilmarnock,2-0,2,0
4,1994-08-13,1994,Rangers,Motherwell,2-1,2,1
5,1994-08-20,1994,Aberdeen,Falkirk,2-2,2,2
6,1994-08-20,1994,Celtic,Dundee United,2-1,2,1
7,1994-08-20,1994,Hibernian,Kilmarnock,0-0,0,0
8,1994-08-20,1994,Motherwell,Hearts,1-1,1,1
9,1994-08-20,1994,Partick,Rangers,0-2,0,2
10,1994-08-28,1994,Dundee United,Aberdeen,2-1,2,1
11,1994-08-28,1994,Falkirk,Partick,2-1,2,1
12,1994-08-28,1994,Hearts,Hibernian,0-1,0,1
13,1994-08-28,1994,Kilmarnock,Motherwell,0-1,0,1
14,1994-08-28,1994,Rangers,Celtic,0-2,0,2
15,1994-09-10,1994,Dundee United,Motherwell,1-1,1,1
16,1994-09-10,1994,Hibernian,Aberdeen,2-2,2,2
17,1994-09-10,1994,Kilmarnock,Falkirk,1-1,1,1
18,1994-09-10,1994,Partick,Celtic,1-2,1,2
19,1994-09-11,1994,Rangers,Hearts,3-0,3,0
20,1994-09-17,1994,Aberdeen,Partick,1-1,1,1
21,1994-09-17,1994,Celtic,Kilmarnock,1-1,1,1
22,1994-09-17,1994,Falkirk,Rangers,0-2,0,2
23,1994-09-17,1994,Hearts,Dundee United,2-1,2,1
24,1994-09-17,1994,Motherwell,Hibernian,1-1,1,1
25,1994-09-24,1994,Aberdeen,Rangers,2-2,2,2
26,1994-09-24,1994,Celtic,Hibernian,2-0,2,0
27,1994-09-24,1994,Dundee United,Falkirk,1-0,1,0
28,1994-09-24,1994,Hearts,Kilmarnock,3-0,3,0
29,1994-09-24,1994,Partick,Motherwell,2-2,2,2
30,1994-10-01,1994,Falkirk,Hearts,2-1,2,1
31,1994-10-01,1994,Hibernian,Partick,3-0,3,0
32,1994-10-01,1994,Kilmarnock,Aberdeen,2-1,2,1
33,1994-10-01,1994,Motherwell,Celtic,1-1,1,1
34,1994-10-01,1994,Rangers,Dundee United,2-0,2,0
35,1994-10-08,1994,Celtic,Aberdeen,0-0,0,0
36,1994-10-08,1994,Hibernian,Rangers,2-1,2,1
37,1994-10-08,1994,Kilmarnock,Dundee United,0-2,0,2
38,1994-10-08,1994,Motherwell,Falkirk,5-3,5,3
39,1994-10-08,1994,Partick,Hearts,0-1,0,1
40,1994-10-15,1994,Aberdeen,Motherwell,1-3,1,3
41,1994-10-15,1994,Dundee United,Partick,0-1,0,1
42,1994-10-15,1994,Falkirk,Hibernian,0-0,0,0
43,1994-10-15,1994,Hearts,Celtic,1-0,1,0
44,1994-10-15,1994,Rangers,Kilmarnock,2-0,2,0
45,1994-10-22,1994,Celtic,Falkirk,0-2,0,2
46,1994-10-22,1994,Dundee United,Hibernian,0-0,0,0
47,1994-10-22,1994,Hearts,Aberdeen,2-0,2,0
48,1994-10-22,1994,Kilmarnock,Partick,2-0,2,0
49,1994-10-22,1994,Motherwell,Rangers,2-1,2,1
50,1994-10-29,1994,Aberdeen,Dundee United,3-0,3,0
51,1994-10-29,1994,Hibernian,Hearts,2-1,2,1
52,1994-10-29,1994,Motherwell,Kilmarnock,3-2,3,2
53,1994-10-29,1994,Partick,Falkirk,1-2,1,2
54,1994-10-30,1994,Celtic,Rangers,1-3,1,3
55,1994-11-05,1994,Dundee United,Celtic,2-2,2,2
56,1994-11-05,1994,Falkirk,Aberdeen,2-1,2,1
57,1994-11-05,1994,Hearts,Motherwell,1-2,1,2
58,1994-11-05,1994,Kilmarnock,Hibernian,0-0,0,0
59,1994-11-05,1994,Rangers,Partick,3-0,3,0
60,1994-11-08,1994,Falkirk,Kilmarnock,3-3,3,3
61,1994-11-08,1994,Motherwell,Dundee United,1-1,1,1
62,1994-11-09,1994,Aberdeen,Hibernian,0-0,0,0
63,1994-11-09,1994,Celtic,Partick,0-0,0,0
64,1994-11-09,1994,Hearts,Rangers,1-1,1,1
65,1994-11-19,1994,Dundee United,Hearts,5-2,5,2
66,1994-11-19,1994,Hibernian,Motherwell,2-2,2,2
67,1994-11-19,1994,Kilmarnock,Celtic,0-0,0,0
68,1994-11-19,1994,Partick,Aberdeen,2-1,2,1
69,1994-11-19,1994,Rangers,Falkirk,1-1,1,1
70,1994-11-25,1994,Rangers,Aberdeen,1-0,1,0
71,1994-11-26,1994,Falkirk,Dundee United,1-3,1,3
72,1994-11-26,1994,Kilmarnock,Hearts,3-1,3,1
