,Date,Season,home,visitor,FT,hgoal,vgoal
0,1929-02-10,1928,Arenas de Getxo,Atletico Madrid,2-3,2,3
1,1929-02-10,1928,Espanyol Barcelona,Real Union,3-2,3,2
2,1929-02-10,1928,Real Madrid,CE Europa,5-0,5,0
3,1929-02-10,1928,Real Sociedad,Athletic Bilbao,1-1,1,1
4,1929-02-12,1928,Racing Santander,FC Barcelona,0-2,0,2
5,1929-02-17,1928,FC Barcelona,Real Madrid,1-2,1,2
6,1929-02-17,1928,Athletic Bilbao,Espanyol Barcelona,9-0,9,0
7,1929-02-17,1928,Atletico Madrid,Real Sociedad,0-3,0,3
8,1929-02-17,1928,Real Union,Racing Santander,3-1,3,1
9,1929-02-17,1928,CE Europa,Arenas de Getxo,5-2,5,2
10,1929-02-24,1928,Real Sociedad,FC Barcelona,3-0,3,0
11,1929-02-24,1928,Espanyol Barcelona,CE Europa,3-1,3,1
12,1929-02-24,1928,Arenas de Getxo,Real Union,1-1,1,1
13,1929-02-24,1928,Racing Santander,Athletic Bilbao,0-4,0,4
14,1929-02-24,1928,Real Madrid,Atletico Madrid,2-1,2,1
15,1929-03-03,1928,Real Union,Atletico Madrid,1-2,1,2
16,1929-03-03,1928,Real Madrid,Real Sociedad,2-1,2,1
17,1929-03-03,1928,Espanyol Barcelona,Racing Santander,3-0,3,0
18,1929-03-03,1928,FC Barcelona,Arenas de Getxo,2-2,2,2
19,1929-03-03,1928,Athletic Bilbao,CE Europa,2-0,2,0
20,1929-03-10,1928,CE Europa,Real Union,3-3,3,3
21,1929-03-10,1928,Atletico Madrid,FC Barcelona,4-1,4,1
22,1929-03-10,1928,Racing Santander,Real Madrid,1-3,1,3
23,1929-03-10,1928,Real Sociedad,Espanyol Barcelona,1-1,1,1
24,1929-03-10,1928,Arenas de Getxo,Athletic Bilbao,1-0,1,0
25,1929-03-24,1928,Espanyol Barcelona,Real Madrid,4-0,4,0
26,1929-03-24,1928,Real Union,Athletic Bilbao,6-3,6,3
27,1929-03-24,1928,Arenas de Getxo,Real Sociedad,3-0,3,0
28,1929-03-24,1928,Atletico Madrid,Racing Santander,4-0,4,0
29,1929-03-24,1928,FC Barcelona,CE Europa,5-2,5,2
30,1929-03-31,1928,Real Sociedad,Racing Santander,8-1,8,1
31,1929-03-31,1928,Espanyol Barcelona,Arenas de Getxo,1-2,1,2
32,1929-03-31,1928,CE Europa,Atletico Madrid,4-1,4,1
33,1929-03-31,1928,Athletic Bilbao,FC Barcelona,5-1,5,1
34,1929-03-31,1928,Real Madrid,Real Union,2-0,2,0
35,1929-04-07,1928,Arenas de Getxo,Real Madrid,3-2,3,2
36,1929-04-07,1928,Atletico Madrid,Athletic Bilbao,2-3,2,3
37,1929-04-07,1928,FC Barcelona,Espanyol Barcelona,1-0,1,0
38,1929-04-07,1928,Real Union,Real Sociedad,2-3,2,3
39,1929-04-07,1928,Racing Santander,CE Europa,3-2,3,2
40,1929-04-21,1928,Arenas de Getxo,Racing Santander,2-1,2,1
41,1929-04-21,1928,Real Union,FC Barcelona,1-2,1,2
42,1929-04-21,1928,Real Madrid,Athletic Bilbao,5-1,5,1
43,1929-04-21,1928,Espanyol Barcelona,Atletico Madrid,3-2,3,2
44,1929-04-21,1928,CE Europa,Real Sociedad,4-3,4,3
45,1929-04-28,1928,Real Union,Espanyol Barcelona,4-3,4,3
46,1929-04-28,1928,Athletic Bilbao,Real Sociedad,4-2,4,2
47,1929-04-28,1928,FC Barcelona,Racing Santander,5-1,5,1
48,1929-04-28,1928,Atletico Madrid,Arenas de Getxo,1-2,1,2
49,1929-04-28,1928,CE Europa,Real Madrid,5-2,5,2
50,1929-05-05,1928,Espanyol Barcelona,Athletic Bilbao,4-1,4,1
51,1929-05-05,1928,Racing Santander,Real Union,1-3,1,3
52,1929-05-05,1928,Arenas de Getxo,CE Europa,2-2,2,2
53,1929-05-09,1928,Real Madrid,FC Barcelona,0-1,0,1
54,1929-05-09,1928,Real Sociedad,Atletico Madrid,3-3,3,3
55,1929-05-09,1928,CE Europa,Espanyol Barcelona,0-3,0,3
56,1929-05-12,1928,Athletic Bilbao,Racing Santander,0-0,0,0
57,1929-05-12,1928,Real Union,Arenas de Getxo,7-1,7,1
58,1929-05-19,1928,Atletico Madrid,Real Union,3-1,3,1
59,1929-05-19,1928,Real Sociedad,Real Madrid,5-4,5,4
60,1929-05-26,1928,FC Barcelona,Atletico Madrid,4-0,4,0
61,1929-05-26,1928,Espanyol Barcelona,Real Sociedad,1-1,1,1
62,1929-05-26,1928,Real Madrid,Racing Santander,2-2,2,2
63,1929-05-26,1928,Athletic Bilbao,Arenas de Getxo,2-3,2,3
64,1929-05-26,1928,Real Union,CE Europa,2-3,2,3
65,1929-05-30,1928,Atletico Madrid,Real Madrid,0-3,0,3
66,1929-05-30,1928,FC Barcelona,Real Sociedad,1-0,1,0
67,1929-05-30,1928,Racing Santander,Espanyol Barcelona,1-1,1,1
68,1929-05-30,1928,CE Europa,Athletic Bilbao,1-1,1,1
69,1929-06-02,1928,CE Europa,FC Barcelona,1-1,1,1
70,1929-06-02,1928,Real Madrid,Espanyol Barcelona,2-0,2,0
71,1929-06-02,1928,Racing Santander,Atletico Madrid,1-2,1,2
72,1929-06-02,1928,Real Sociedad,Arenas de Getxo,3-2,3,2
73,1929-06-02,1928,Athletic Bilbao,Real Union,2-1,2,1
74,1929-06-09,1928,Arenas de Getxo,Espanyol Barcelona,3-0,3,0
75,1929-06-09,1928,Racing Santander,Real Sociedad,6-1,6,1
76,1929-06-09,1928,FC Barcelona,Athletic Bilbao,3-0,3,0
77,1929-06-09,1928,Real Union,Real Madrid,0-2,0,2
78,1929-06-09,1928,Atletico Madrid,CE Europa,5-4,5,4
79,1929-06-16,1928,Espanyol Barcelona,FC Barcelona,1-1,1,1
80,1929-06-16,1928,Athletic Bilbao,Atletico Madrid,3-3,3,3
81,1929-06-16,1928,CE Europa,Racing Santander,4-1,4,1
82,1929-06-16,1928,Real Madrid,Arenas de Getxo,2-0,2,0
83,1929-06-16,1928,Real Sociedad,Real Union,3-2,3,2
84,1929-06-23,1928,Real Sociedad,CE Europa,5-4,5,4
85,1929-06-23,1928,Athletic Bilbao,Real Madrid,2-0,2,0
86,1929-06-23,1928,Atletico Madrid,Espanyol Barcelona,7-1,7,1
87,1929-06-23,1928,Racing Santander,Arenas de Getxo,5-1,5,1
88,1929-06-23,1928,FC Barcelona,Real Union,4-1,4,1
89,1929-06-30,1928,Arenas de Getxo,FC Barcelona,0-2,0,2
90,1929-12-01,1929,Racing Santander,Espanyol Barcelona,4-1,4,1
