,Date,home,visitor,hgoal,vgoal,goaldiff,result
0,10/03/2012,Colorado Rapids,Columbus Crew,2,0,2,1
1,10/03/2012,Vancouver Whitecaps,Montreal Impact,2,0,2,1
2,11/03/2012,DC United,Sporting Kansas City,0,1,-1,-1
3,11/03/2012,Los Angeles Galaxy,Real Salt Lake,1,3,-2,-1
4,11/03/2012,San Jose Earthquakes,New England Revolution,1,0,1,1
5,11/03/2012,FC Dallas,New York Red Bulls,2,1,1,1
6,11/03/2012,Chivas USA,Houston Dynamo,0,1,-1,-1
7,13/03/2012,Portland Timbers,Philadelphia Union,3,1,2,1
8,17/03/2012,Montreal Impact,Chicago Fire,1,1,0,0
9,17/03/2012,San Jose Earthquakes,Houston Dynamo,0,1,-1,-1
10,18/03/2012,FC Dallas,Portland Timbers,1,1,0,0
11,18/03/2012,Sporting Kansas City,New England Revolution,3,0,3,1
12,18/03/2012,Real Salt Lake,New York Red Bulls,2,0,2,1
13,18/03/2012,Seattle Sounders,Toronto FC,3,1,2,1
14,18/03/2012,Chivas USA,Vancouver Whitecaps,0,1,-1,-1
15,18/03/2012,Philadelphia Union,Colorado Rapids,1,2,-1,-1
16,18/03/2012,Los Angeles Galaxy,DC United,3,1,2,1
17,24/03/2012,Seattle Sounders,Houston Dynamo,2,0,2,1
18,24/03/2012,Toronto FC,San Jose Earthquakes,0,3,-3,-1
19,24/03/2012,Columbus Crew,Montreal Impact,2,0,2,1
20,24/03/2012,New England Revolution,Portland Timbers,1,0,1,1
21,25/03/2012,Chicago Fire,Philadelphia Union,1,0,1,1
22,25/03/2012,Real Salt Lake,Chivas USA,0,1,-1,-1
23,25/03/2012,Vancouver Whitecaps,DC United,0,0,0,0
24,25/03/2012,New York Red Bulls,Colorado Rapids,4,1,3,1
25,26/03/2012,Sporting Kansas City,FC Dallas,2,1,1,1
26,31/03/2012,DC United,FC Dallas,4,1,3,1
27,31/03/2012,Toronto FC,Columbus Crew,0,1,-1,-1
28,31/03/2012,New York Red Bulls,Montreal Impact,5,2,3,1
29,31/03/2012,Philadelphia Union,Vancouver Whitecaps,0,0,0,0
30,01/04/2012,Portland Timbers,Real Salt Lake,2,3,-1,-1
31,01/04/2012,Seattle Sounders,San Jose Earthquakes,0,1,-1,-1
32,01/04/2012,Los Angeles Galaxy,New England Revolution,1,3,-2,-1
33,02/04/2012,Colorado Rapids,Chicago Fire,2,0,2,1
34,02/04/2012,Chivas USA,Sporting Kansas City,0,1,-1,-1
35,05/04/2012,Real Salt Lake,Montreal Impact,1,0,1,1
36,06/04/2012,FC Dallas,New England Revolution,1,0,1,1
37,07/04/2012,Montreal Impact,Toronto FC,2,1,1,1
38,07/04/2012,Columbus Crew,New York Red Bulls,1,4,-3,-1
39,07/04/2012,Sporting Kansas City,Los Angeles Galaxy,1,0,1,1
40,08/04/2012,San Jose Earthquakes,Vancouver Whitecaps,3,1,2,1
41,08/04/2012,DC United,Seattle Sounders,0,0,0,0
42,08/04/2012,Real Salt Lake,Colorado Rapids,2,0,2,1
43,08/04/2012,Portland Timbers,Chivas USA,1,2,-1,-1
44,14/04/2012,Philadelphia Union,Columbus Crew,1,0,1,1
45,14/04/2012,New England Revolution,DC United,1,2,-1,-1
46,14/04/2012,Seattle Sounders,Colorado Rapids,1,0,1,1
47,14/04/2012,Toronto FC,Chivas USA,0,1,-1,-1
48,15/04/2012,New York Red Bulls,San Jose Earthquakes,2,2,0,0
49,15/04/2012,FC Dallas,Montreal Impact,2,1,1,1
50,15/04/2012,Sporting Kansas City,Real Salt Lake,1,0,1,1
51,15/04/2012,Los Angeles Galaxy,Portland Timbers,3,1,2,1
52,16/04/2012,Chicago Fire,Houston Dynamo,1,1,0,0
53,19/04/2012,DC United,Montreal Impact,1,1,0,0
54,19/04/2012,Vancouver Whitecaps,Sporting Kansas City,1,3,-2,-1
55,21/04/2012,Toronto FC,Chicago Fire,2,3,-1,-1
56,22/04/2012,Columbus Crew,Houston Dynamo,2,2,0,0
57,22/04/2012,Colorado Rapids,Los Angeles Galaxy,1,2,-1,-1
58,22/04/2012,Vancouver Whitecaps,FC Dallas,1,0,1,1
59,22/04/2012,Chivas USA,Philadelphia Union,0,1,-1,-1
60,22/04/2012,Portland Timbers,Sporting Kansas City,1,0,1,1
61,22/04/2012,San Jose Earthquakes,Real Salt Lake,3,1,2,1
62,22/04/2012,DC United,New York Red Bulls,4,1,3,1
63,26/04/2012,FC Dallas,Real Salt Lake,1,1,0,0
64,28/04/2012,Montreal Impact,Portland Timbers,2,0,2,1
65,28/04/2012,New York Red Bulls,New England Revolution,1,0,1,1
66,29/04/2012,Philadelphia Union,San Jose Earthquakes,1,2,-1,-1
67,29/04/2012,Columbus Crew,Vancouver Whitecaps,0,1,-1,-1
68,29/04/2012,DC United,Houston Dynamo,3,2,1,1
69,29/04/2012,Chicago Fire,Seattle Sounders,1,2,-1,-1
70,29/04/2012,Colorado Rapids,Chivas USA,4,0,4,1
71,29/04/2012,Real Salt Lake,Toronto FC,3,2,1,1
72,29/04/2012,Los Angeles Galaxy,FC Dallas,1,1,0,0
73,03/05/2012,New England Revolution,Colorado Rapids,2,1,1,1
74,03/05/2012,Seattle Sounders,Los Angeles Galaxy,2,0,2,1
75,03/05/2012,San Jose Earthquakes,DC United,5,3,2,1
76,05/05/2012,Chivas USA,Chicago Fire,1,2,-1,-1
77,05/05/2012,Toronto FC,DC United,0,2,-2,-1
78,05/05/2012,Seattle Sounders,Philadelphia Union,1,0,1,1
79,06/05/2012,Vancouver Whitecaps,San Jose Earthquakes,2,1,1,1
80,06/05/2012,Los Angeles Galaxy,New York Red Bulls,0,1,-1,-1
81,06/05/2012,Sporting Kansas City,Montreal Impact,0,2,-2,-1
82,06/05/2012,Real Salt Lake,New England Revolution,2,1,1,1
83,06/05/2012,Portland Timbers,Columbus Crew,0,0,0,0
84,07/05/2012,FC Dallas,Colorado Rapids,0,2,-2,-1
85,10/05/2012,New York Red Bulls,Houston Dynamo,1,0,1,1
86,10/05/2012,Chicago Fire,Real Salt Lake,0,0,0,0
87,10/05/2012,FC Dallas,Seattle Sounders,0,2,-2,-1
88,12/05/2012,Montreal Impact,Los Angeles Galaxy,1,1,0,0
89,12/05/2012,Houston Dynamo,DC United,1,0,1,1
90,13/05/2012,Columbus Crew,FC Dallas,2,1,1,1
91,13/05/2012,New England Revolution,Vancouver Whitecaps,4,1,3,1
92,13/05/2012,Chicago Fire,Sporting Kansas City,2,1,1,1
93,13/05/2012,Seattle Sounders,Real Salt Lake,0,1,-1,-1
94,13/05/2012,Philadelphia Union,New York Red Bulls,2,3,-1,-1
95,14/05/2012,San Jose Earthquakes,Chivas USA,1,1,0,0
96,16/05/2012,Houston Dynamo,Portland Timbers,0,0,0,0
97,17/05/2012,DC United,Colorado Rapids,2,0,2,1
98,19/05/2012,Vancouver Whitecaps,Seattle Sounders,2,2,0,0
99,20/05/2012,DC United,Toronto FC,3,1,2,1
100,20/05/2012,Montreal Impact,New York Red Bulls,1,2,-1,-1
101,20/05/2012,New England Revolution,Houston Dynamo,2,2,0,0
102,20/05/2012,FC Dallas,Philadelphia Union,1,1,0,0
103,20/05/2012,Colorado Rapids,Sporting Kansas City,2,2,0,0
104,20/05/2012,Chivas USA,Los Angeles Galaxy,1,0,1,1
105,20/05/2012,San Jose Earthquakes,Columbus Crew,1,1,0,0
106,21/05/2012,Portland Timbers,Chicago Fire,2,1,1,1
107,24/05/2012,New York Red Bulls,Chivas USA,1,1,0,0
108,24/05/2012,Chicago Fire,FC Dallas,2,1,1,1
109,24/05/2012,Seattle Sounders,Columbus Crew,0,2,-2,-1
110,24/05/2012,Los Angeles Galaxy,San Jose Earthquakes,2,3,-1,-1
111,26/05/2012,Houston Dynamo,Los Angeles Galaxy,2,1,1,1
112,26/05/2012,Toronto FC,Philadelphia Union,1,0,1,1
113,27/05/2012,Columbus Crew,Chicago Fire,2,1,1,1
114,27/05/2012,DC United,New England Revolution,3,2,1,1
115,27/05/2012,Colorado Rapids,Montreal Impact,3,2,1,1
116,27/05/2012,Real Salt Lake,FC Dallas,3,2,1,1
117,27/05/2012,Portland Timbers,Vancouver Whitecaps,1,1,0,0
118,27/05/2012,Chivas USA,Seattle Sounders,1,1,0,0
119,27/05/2012,Sporting Kansas City,San Jose Earthquakes,2,1,1,1
120,03/06/2012,New England Revolution,Chicago Fire,2,0,2,1
121,11/06/2012,Vancouver Whitecaps,Houston Dynamo,3,1,2,1
122,17/06/2012,Philadelphia Union,DC United,0,1,-1,-1
123,17/06/2012,Vancouver Whitecaps,Colorado Rapids,1,0,1,1
124,17/06/2012,Houston Dynamo,FC Dallas,2,1,1,1
125,17/06/2012,Montreal Impact,Seattle Sounders,4,1,3,1
126,17/06/2012,New England Revolution,Columbus Crew,0,0,0,0
127,17/06/2012,Sporting Kansas City,Toronto FC,2,0,2,1
128,17/06/2012,Chivas USA,Real Salt Lake,0,3,-3,-1
129,17/06/2012,Chicago Fire,New York Red Bulls,3,1,2,1
130,18/06/2012,Los Angeles Galaxy,Portland Timbers,1,0,1,1
131,21/06/2012,Houston Dynamo,Toronto FC,3,3,0,0
132,21/06/2012,Real Salt Lake,Los Angeles Galaxy,2,3,-1,-1
133,21/06/2012,Colorado Rapids,San Jose Earthquakes,1,2,-1,-1
134,21/06/2012,Seattle Sounders,Sporting Kansas City,1,1,0,0
135,21/06/2012,Chivas USA,Montreal Impact,2,1,1,1
136,21/06/2012,Vancouver Whitecaps,New York Red Bulls,1,1,0,0
137,23/06/2012,Toronto FC,New England Revolution,2,2,0,0
138,24/06/2012,Philadelphia Union,Sporting Kansas City,4,0,4,1
139,24/06/2012,Montreal Impact,Houston Dynamo,4,2,2,1
140,24/06/2012,Chicago Fire,Columbus Crew,2,1,1,1
141,24/06/2012,FC Dallas,Chivas USA,0,0,0,0
142,24/06/2012,Real Salt Lake,San Jose Earthquakes,1,2,-1,-1
143,24/06/2012,Los Angeles Galaxy,Vancouver Whitecaps,3,0,3,1
